Ticker,Weight
SPY,
As of 20-Nov-2025,
,
Ticker,Weight
JBHT,0.021648
DECK,0.021573
VTRS,0.021572
HII,0.021379
SOLV,0.021054
ZBRA,0.02096
REG,0.020473
AIZ,0.020403
RVTY,0.019985
CPT,0.01998
SJM,0.019943
DAY,0.019623
LYB,0.019592
PNW,0.019248
HST,0.019148
BLDR,0.018916
GL,0.018811
UDR,0.018802
FDS,0.018694
IVZ,0.018446
EPAM,0.018259
HAS,0.018185
BXP,0.018027
WYNN,0.017611
SWK,0.017362
AES,0.01735
NWSA,0.016946
TECH,0.016718
IPG,0.016472
SWKS,0.016382
ALGN,0.016314
BAX,0.016062
FOX,0.015377
APA,0.015215
GNRC,0.015019
CAG,0.014951
PAYC,0.014511
CRL,0.014366
LW,0.01427
TAP,0.014091
NCLH,0.013953
MRNA,0.013672
MOS,0.013613
ARE,0.013564
FRT,0.013488
LKQ,0.013466
POOL,0.01346
MTCH,0.013382
AOS,0.013258
ERIE,0.013215
MOH,0.013158
HSIC,0.013032
SOLS,0.012285
BEN,0.011802
HRL,0.011717
MGM,0.011473
CPB,0.010901
MHK,0.009813
BF.B,0.009145
PSKY,0.008752
DVA,0.007298
NWS,0.00607
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
